Feature,Importance
current_balance,0.13152752883792299
balance_change_pct,0.1247912507502842
current_month_debit,0.0641671039710359
current_month_balance,0.060484614571339905
debit_change,0.05206427760345344
average_monthly_balance_prevQ2,0.05026019766051476
previous_month_debit,0.04897157844085958
average_monthly_balance_prevQ,0.04438201043708453
previous_month_balance,0.04259026962045378
previous_month_end_balance,0.0422053173618405
branch_code,0.03699894464635242
previous_month_credit,0.03440972493595034
vintage,0.033917579566231905
current_month_credit,0.033912787337233304
days_since_last_transaction,0.033169891412727255
age,0.03150739605412223
city,0.03012201472883768
credit_change,0.02642951210435496
vintage (in years),0.022927963298270078
customer_nw_category,0.008473175248123351
dependents,0.0061134541071668075
gender_Male,0.005242664304424349
occupation_self_employed,0.004507577553453462
occupation_salaried,0.0038827259049240394
Age Group_36-45,0.0038559005744246526
Age Group_46-55,0.003682964400199793
Age Group_55+,0.003520191379725653
Age Group_26-35,0.0032668792719333793
balance_segment_Low,0.0027921954392211845
vintage_segment_Regular Customer,0.0024492211969422335
occupation_student,0.0020931289356218427
occupation_retired,0.0018732239848170706
balance_segment_Medium,0.0018704586216478237
gender_Not to disclose,0.001380856693037762
vintage_segment_New Customer,9.661852535224742e-05
occupation_company,5.88005201148108e-05
